timestamp,x,y,yaw,v_total,v_lat,v_long,w_z,a_lat,a_long,throttle_cmd,brake_cmd,steer_cmd,gear_cmd,throttle_real,brake_real,steer_real,gear_real,is_idle
1214.858,210.867,-199.442,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0,1
1215.908,210.867,-199.442,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0,1
1216.308,210.867,-199.442,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,1.0,0.0,-0.012,0,1.0,0.0,-1.0,0,1
1216.408,210.867,-199.442,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,1.0,0.0,-0.012,0,1.0,0.0,-0.012,0,1
1216.808,210.867,-199.442,0.0,0.0,-0.0,0.0,-0.0,0.053,8.128,1.0,0.0,-0.012,0,1.0,0.0,-0.012,0,1
1216.858,210.876,-199.442,0.0,0.406,0.003,0.406,0.0,0.069,7.72,1.0,0.0,-0.012,0,1.0,0.0,-0.012,1,0
1216.958,210.962,-199.441,0.0,1.192,0.008,1.192,-0.001,0.07,6.726,1.0,0.0,-0.011,0,1.0,0.0,-0.011,1,0
1217.058,211.122,-199.44,0.001,1.987,0.013,1.987,0.005,0.051,9.174,1.0,0.0,-0.01,0,1.0,0.0,-0.011,1,0
1217.108,211.235,-199.439,0.002,2.408,0.014,2.408,0.015,0.053,6.38,1.0,0.0,-0.01,0,1.0,0.0,-0.01,1,0
1217.208,211.513,-199.437,0.003,3.116,0.016,3.115,0.012,0.058,7.775,1.0,0.0,-0.009,0,1.0,0.0,-0.01,1,0
1217.258,211.681,-199.436,0.003,3.524,0.017,3.524,0.012,0.061,7.659,1.0,0.0,-0.008,0,1.0,0.0,-0.009,1,0
1217.308,211.869,-199.434,0.004,3.907,0.018,3.907,0.013,0.061,7.403,1.0,0.0,-0.008,0,1.0,0.0,-0.008,1,0
1217.408,212.3,-199.431,0.005,4.641,0.018,4.641,0.014,0.06,7.208,1.0,0.0,-0.006,0,1.0,0.0,-0.007,1,0
1217.458,212.543,-199.428,0.006,5.001,0.018,5.001,0.013,0.038,7.2,1.0,0.0,-0.006,0,1.0,0.0,-0.006,1,0
1217.558,213.081,-199.423,0.007,5.609,0.015,5.609,0.012,0.041,0.314,1.0,0.0,-0.005,0,1.0,0.0,-0.005,1,0
1217.658,213.645,-199.418,0.008,5.73,0.012,5.73,0.008,0.021,2.102,1.0,0.0,-0.004,0,1.0,0.0,-0.005,1,0
1217.708,213.93,-199.415,0.009,5.708,0.01,5.708,0.009,0.006,-0.065,1.0,0.0,-0.003,0,1.0,0.0,-0.003,0,0
1217.808,214.511,-199.409,0.009,6.215,0.008,6.215,0.007,0.037,10.197,1.0,0.0,-0.002,0,1.0,0.0,-0.003,0,0
1217.858,214.842,-199.405,0.01,6.874,0.006,6.874,0.006,0.02,11.182,1.0,0.0,-0.001,0,1.0,0.0,-0.002,2,0
1217.908,215.204,-199.402,0.01,7.433,0.005,7.433,0.005,0.02,9.772,1.0,0.0,-0.001,0,1.0,0.0,-0.001,2,0
1218.008,216.001,-199.393,0.01,8.361,0.004,8.361,0.004,-0.004,8.143,1.0,0.0,-0.0,0,1.0,0.0,-0.001,2,0
1218.058,216.431,-199.388,0.011,8.769,0.002,8.769,0.003,-0.0,3.606,1.0,0.0,0.0,0,1.0,0.0,-0.0,2,0
1218.158,217.33,-199.379,0.011,9.094,0.0,9.094,0.001,-0.012,-3.389,1.0,0.0,0.0,0,1.0,0.0,0.0,0,0
1218.258,218.245,-199.369,0.011,9.513,-0.001,9.513,-0.001,-0.013,11.773,1.0,0.0,0.001,0,1.0,0.0,0.0,3,0
1218.308,218.734,-199.364,0.011,9.94,-0.002,9.94,-0.002,-0.026,7.492,1.0,0.0,0.001,0,1.0,0.0,0.001,3,0
1218.408,219.768,-199.353,0.01,10.654,-0.003,10.654,-0.003,-0.037,6.309,1.0,0.0,0.001,0,1.0,0.0,0.001,3,0
1218.458,220.311,-199.348,0.01,10.969,-0.003,10.969,-0.004,-0.054,5.991,1.0,0.0,0.001,0,1.0,0.0,0.001,3,0
1218.558,221.44,-199.337,0.01,11.558,-0.003,11.558,-0.004,-0.06,5.638,1.0,0.0,0.001,0,1.0,0.0,0.001,3,0
1218.658,222.627,-199.326,0.009,12.117,-0.003,12.117,-0.005,-0.064,5.485,1.0,0.0,0.001,0,1.0,0.0,0.001,3,0
1218.708,223.241,-199.321,0.009,12.391,-0.003,12.391,-0.005,-0.072,5.446,1.0,0.0,0.001,0,1.0,0.0,0.001,3,0
1218.808,224.503,-199.31,0.008,12.719,-0.002,12.719,-0.006,-0.066,-1.513,1.0,0.0,0.001,0,1.0,0.0,0.001,0,0
1218.908,225.774,-199.3,0.008,12.885,-0.001,12.885,-0.005,-0.059,4.823,1.0,0.0,0.001,0,1.0,0.0,0.001,0,0
1218.958,226.427,-199.295,0.008,13.179,-0.001,13.179,-0.005,-0.073,5.42,1.0,0.0,0.001,0,1.0,0.0,0.001,4,0
1219.058,227.775,-199.285,0.007,13.705,-0.001,13.705,-0.005,-0.068,4.89,1.0,0.0,0.001,0,1.0,0.0,0.001,4,0
1219.158,229.172,-199.276,0.007,14.186,-0.001,14.186,-0.005,-0.071,4.748,1.0,0.0,0.001,0,1.0,0.0,0.001,4,0
1219.208,229.888,-199.271,0.006,14.419,-0.0,14.419,-0.005,-0.066,4.592,1.0,0.0,0.001,0,1.0,0.0,0.001,4,0
1219.308,231.355,-199.262,0.006,14.876,0.0,14.876,-0.005,-0.059,4.525,1.0,0.0,0.001,0,1.0,0.0,0.001,4,0
1219.408,232.868,-199.253,0.005,15.328,0.001,15.328,-0.004,-0.065,4.497,1.0,0.0,0.001,0,1.0,0.0,0.001,4,0
1219.458,233.641,-199.249,0.005,15.553,0.001,15.553,-0.004,-0.067,4.491,1.0,0.0,0.001,0,1.0,0.0,0.001,4,0
1219.558,235.221,-199.241,0.005,16.002,0.001,16.002,-0.004,-0.061,2.498,1.0,0.0,0.001,0,1.0,0.0,0.001,4,0
1219.658,236.831,-199.234,0.004,16.106,0.001,16.106,-0.004,-0.063,1.431,1.0,0.0,0.001,0,1.0,0.0,0.001,0,0
